Id,step,cfg,width,height,token_count,sampler,Duration
48734,20,7.0,704,512,37,8,2190
13472,20,7.0,512,704,25,8,2080
12357,20,7.0,512,768,73,8,2361
38824,20,7.0,512,704,35,8,2141
24461,20,7.0,512,512,5,8,1770
53167,20,10.0,576,512,50,8,2028
41985,20,7.0,512,768,71,8,2343
52298,20,7.0,512,512,46,8,1750
43291,20,7.0,512,512,34,8,1716
30066,20,7.0,512,512,6,8,1758
55693,20,7.0,512,512,4,8,1697
29509,20,7.0,512,768,15,8,2356
49266,50,7.0,512,512,9,8,3737
53145,20,7.0,768,512,27,8,2307
40554,20,7.0,1024,1024,29,8,6659
30030,20,7.0,512,512,10,8,1707
42846,20,7.0,768,512,63,8,2357
31530,20,7.0,512,512,9,8,1776
58997,20,7.0,512,512,18,8,1763
3258,20,7.0,512,512,38,8,1772
22596,20,13.0,512,640,73,8,2022
53271,20,7.0,512,512,10,8,1707
45520,20,7.0,512,768,36,8,2358
53639,20,7.0,512,512,5,8,1770
49112,20,7.0,512,512,401,8,1585
24434,20,7.0,512,768,17,8,2357
28532,23,7.0,512,512,25,8,1903
35749,20,7.0,512,512,7,8,1723
25120,20,7.0,512,768,17,8,2357
13908,20,7.0,512,512,25,8,1708
23248,20,7.0,768,512,19,8,2348
38922,20,7.0,512,704,34,8,2088
32922,20,7.0,576,1024,69,8,3722
56888,20,7.0,512,512,27,8,1721
28288,20,7.0,512,512,17,8,1763
41263,20,7.0,704,512,43,8,2174
45277,20,7.0,768,768,53,8,3405
58069,50,7.0,512,704,86,8,4832
53842,20,7.0,512,512,26,8,1721
27775,20,7.0,512,512,24,8,1761
56163,20,7.0,512,512,5,8,1770
43139,35,10.0,512,832,78,8,3995
7196,20,7.0,704,512,7,8,2176
26423,20,7.0,512,512,18,8,1763
37662,20,7.0,768,512,37,8,2340
26964,35,7.0,768,512,22,8,3890
42829,50,15.0,512,512,84,8,3774
55926,20,7.0,832,576,36,8,2826
27632,20,7.0,512,512,22,8,1766
8687,20,7.0,512,512,54,8,1740
31170,20,7.0,768,512,59,8,2381
