Id,step,cfg,width,height,token_count,sampler,Duration
42152,20,17.0,512,768,64,8,2595
55282,20,7.0,768,512,71,8,2212
27893,20,7.0,512,512,5,8,2513
17359,20,7.0,512,768,109,8,2660
44509,20,7.0,512,512,30,8,1465
26088,20,7.0,512,768,55,8,2899
51997,20,7.0,512,512,25,8,1485
45216,20,7.0,768,768,68,8,3326
44511,20,7.0,512,512,32,8,1500
19675,50,7.0,512,768,70,8,5173
49584,20,9.0,1024,512,71,8,2999
8270,20,7.0,576,384,31,8,2613
4703,20,7.0,512,512,46,8,2296
4550,20,7.0,512,768,38,8,2884
27985,20,7.0,512,512,23,8,1469
33567,20,7.0,512,512,38,8,2497
46552,20,7.0,512,512,40,8,1455
43492,20,13.0,512,640,39,8,2527
20933,20,7.0,512,704,18,8,1915
17276,20,7.0,512,512,9,8,2512
54015,50,7.0,512,704,57,8,4569
427,20,7.0,512,512,57,8,2551
52510,20,7.0,512,512,80,8,1467
43272,20,7.0,512,512,18,8,1467
46827,20,7.0,512,512,8,8,2354
46345,50,7.0,512,512,38,8,4616
17801,20,7.0,832,512,17,8,2980
47639,41,12.5,512,768,77,8,4230
13131,20,7.0,512,512,13,8,2363
24739,42,7.5,512,512,68,8,2913
44574,30,18.5,512,768,83,8,3647
28848,20,7.0,512,512,12,8,2196
35688,20,10.0,768,512,57,8,2956
42009,20,7.0,512,512,14,8,2380
54628,20,7.0,512,512,31,8,2227
32098,20,9.0,1024,512,71,8,2919
26172,20,7.0,512,512,9,8,2404
22490,20,7.0,512,512,88,8,1468
23576,20,7.0,512,512,21,8,1477
17790,20,7.0,512,704,22,8,1956
15110,20,7.0,640,640,46,8,2329
28379,50,13.0,512,512,58,6,6728
22054,20,7.0,896,512,62,8,2977
47746,44,20.0,512,640,66,8,4300
14725,20,7.0,512,512,105,8,1503
8329,47,7.0,1024,832,11,8,12005
3465,20,7.0,512,512,5,8,1462
30898,20,7.0,768,512,17,8,2171
40177,20,7.0,512,640,51,8,2467
17268,20,7.0,512,512,13,8,1462
14622,20,7.0,512,704,58,8,2656
20694,20,7.0,512,512,26,8,1530
42250,20,10.0,512,512,7,8,2188
47383,35,8.0,512,512,24,8,3177
43739,20,7.0,512,512,20,8,1582
12073,50,7.0,512,832,33,8,5540
29326,20,7.0,512,512,13,8,2216
42619,20,7.0,512,512,60,8,2041
21477,20,7.0,512,512,45,8,1474
23094,20,7.0,512,512,100,8,2390
42369,20,7.0,512,512,16,8,1453
27641,20,7.0,512,512,15,8,1478
57845,20,7.0,512,640,30,8,2238
9064,20,7.0,512,512,22,8,1607
14926,20,7.0,512,512,14,8,1454
12909,20,7.0,512,512,25,8,2303
55343,20,7.0,704,512,24,8,2458
33316,20,7.0,640,640,40,8,2843
26645,20,8.0,512,512,18,8,1504
34132,20,13.5,576,768,41,8,2933
33189,20,7.0,512,768,13,8,2158
20544,20,7.0,512,512,6,8,1510
20750,20,7.0,512,512,12,8,1490
57986,20,7.0,1024,768,48,8,4659
21813,20,3.6,640,512,113,8,2578
43790,50,15.0,512,512,45,8,3472
