step,reward
501,-2.596763888888884
656,-2.635610042735038
804,-2.651991452991449
950,-2.541329059829056
1103,-2.403096153846151
1255,-2.214350427350424
1483,-2.1319722222222173
1662,-2.007045940170936
1837,-1.682650641025639
2039,-1.516851495726495
2191,-1.788721153846152
2340,-1.5097788461538448
2518,-1.0127061965811943
2664,-0.8765726495726482
2818,-1.029226495726495
2965,-0.8395480769230768
3112,-0.6237980769230771
3263,-0.6372318376068375
3412,-0.55626923076923
3591,-0.31546153846153824
3737,-0.27394551282051294
3889,-0.34793055555555574
4040,-0.30634615384615405
4185,-0.17089529914529933
4338,-0.29999786324786376
4531,-0.1396367521367522
4692,-0.1583493589743591
4841,-0.11791880341880348
4990,-0.10812820512820517
5141,-0.10383119658119659
5287,-0.12160363247863262
5468,-0.09853311965812
5620,-0.09047542735042759
5769,-0.06012393162393169
5917,-0.08972649572649569
6067,-0.1309925213675213
6221,-0.030925213675213732
6373,0.0014914529914528871
6561,0.2178910256410257
6709,0.07222222222222222
6865,-0.03983974358974334
7016,-0.03451282051282034
7166,0.05005555555555569
7321,-0.058440170940170996
7508,-0.020252136752136718
7664,0.08618803418803463
7819,0.12301816239316278
7972,0.15178739316239337
8125,-0.03525747863247852
8278,-0.12470940170940165
8473,0.12050106837606846
8628,0.1832190170940171
8773,0.17653205128205182
8919,0.13694230769230806
9061,0.13848183760683772
9207,0.07104594017094036
9351,0.08596901709401726
9531,-0.023520299145299052
9669,0.01601175213675223
9823,-0.02037927350427344
9971,0.016164529914530087
10116,0.029809829059829304
10259,0.013872863247863392
10436,0.05965598290598311
10589,0.09049252136752148
10736,0.0818589743589745
10884,0.0802286324786327
11034,0.002925213675213911
11179,-0.00714529914529891
11359,0.12864423076923107
11510,0.05616452991453015
11654,0.029960470085470425
11821,-0.019239316239315872
12047,0.006780982905983188
12255,0.026944444444444722
12463,-0.0221292735042732
12724,0.09207585470085505
12938,0.06205235042735062
13137,0.12602136752136783
13360,0.06490811965811999
13583,-0.063932692307692
13792,-0.005367521367521055
14028,0.11930128205128251
14234,0.17534081196581233
14382,0.12678098290598314
14567,0.08411324786324823
14759,0.0944978632478636
14917,0.09417200854700895
15107,0.1261912393162398
15278,0.14438568376068409
15462,0.08356410256410295
15646,0.12387286324786399
15837,0.15899465811965866
16035,0.15877350427350465
16239,0.11472756410256445
16533,0.15170192307692346
16788,0.13365277777777812
16972,0.15010149572649592
17153,0.16797222222222247
17337,0.12075747863247896
17526,0.06709615384615418
17742,0.19098611111111138
17921,0.14492628205128225
18099,0.09741346153846163
18263,0.1291485042735045
18406,0.3283611111111115
18562,0.3146623931623935
18703,0.22832478632478656
18871,0.21520512820512844
19023,0.20196474358974412
19179,0.24828846153846193
19336,0.2611346153846157
19481,0.1992991452991457
19654,0.14510256410256456
19875,0.23250534188034203
20061,0.27507799145299167
20238,0.2888247863247869
20417,0.2788696581196587
20597,0.24421260683760723
20774,0.25281944444444476
20993,0.19784615384615425
21170,0.24342948717948765
21344,0.28133867521367584
21522,0.27281089743589787
21699,0.22753846153846188
21869,0.24474786324786355
22050,0.2402948717948721
22271,0.2593792735042737
22445,0.26607158119658153
22619,0.17922863247863277
22791,0.22954380341880368
22966,0.2611132478632482
23143,0.2664444444444448
23364,0.24195405982906035
23553,0.18947115384615418
23734,0.22402243589743598
23914,0.2212884615384618
24092,0.2710651709401712
24271,0.3115096153846157
24489,0.1879059829059832
24662,0.21037927350427357
24839,0.26519123931623956
25019,0.31544764957265004
25196,0.26303952991453017
25375,0.27111752136752176
25554,0.22296047008547043
25765,0.19954914529914547
25940,0.26616666666666694
26117,0.27099786324786346
26285,0.2595598290598294
26466,0.1837115384615388
26647,0.14505021367521392
26864,0.3463771367521369
27041,0.31555448717948753
27222,0.2674497863247867
27403,0.2521816239316243
27585,0.36258333333333365
27767,0.357891025641026
27983,0.2947457264957269
28162,0.3282585470085476
28349,0.32818696581196644
28544,0.33645833333333364
28727,0.33722756410256444
28902,0.28780876068376104
29078,0.24785897435897475
29304,0.3861933760683764
29503,0.38567521367521435
29712,0.34332905982906037
29921,0.349274572649573
30139,0.3429487179487183
30328,0.37659081196581223
30567,0.3557478632478634
30753,0.2578856837606839
30934,0.25709508547008586
31119,0.2831367521367524
31307,0.3308429487179489
31485,0.29775427350427375
31707,0.351729700854701
31896,0.33613675213675254
32079,0.3887446581196592
32259,0.41820726495726546
32439,0.2717638888888892
32617,0.24680128205128224
32796,0.34815705128205165
33021,0.3054946581196581
33202,0.3401634615384617
33381,0.2886623931623937
33560,0.2521848290598295
33751,0.3366014957264961
33930,0.35458226495726525
34152,0.2433536324786327
34339,0.2571816239316243
34523,0.2785908119658125
34703,0.21560256410256445
34884,0.243303418803419
35062,0.29634935897435927
35279,0.3352211538461539
35459,0.3047649572649573
35639,0.2294583333333334
35820,0.24550641025641035
